Season 2 Ranking Wins

1位 : funi (310勝0敗, 勝率100.00%) [Winner]
2位 : Aqua (259勝0敗, 勝率100.00%)
3位 : 通行ネコ（passing Cat） (204勝0敗, 勝率100.00%)
4位 : ノーにゃんこノーライフ (87勝0敗, 勝率100.00%)
5位 : ビルSP6 (53勝0敗, 勝率100.00%)
6位 : ぼん (46勝0敗, 勝率100.00%)
7位 : !!!カオスタイム!!! (38勝0敗, 勝率100.00%)
8位 : さとぅ( ᐖ ) (33勝0敗, 勝率100.00%)
9位 : organic_san (30勝0敗, 勝率100.00%)
10位 : 三零 (26勝0敗, 勝率100.00%)
11位 : ふーか (22勝0敗, 勝率100.00%)
12位 : しろまる (19勝0敗, 勝率100.00%)
13位 : エル (19勝0敗, 勝率100.00%)
14位 : ワテでし (19勝0敗, 勝率100.00%)
15位 : haruなのです！ (17勝0敗, 勝率100.00%)
16位 : ゆきみだいふく (15勝0敗, 勝率100.00%)
17位 : 防火壁 (14勝0敗, 勝率100.00%)
18位 : しーすぱろー☭祝杯の聖女超極愛☭ (13勝0敗, 勝率100.00%)
19位 : ぬの人 (13勝0敗, 勝率100.00%)
20位 : 56ネコ (12勝0敗, 勝率100.00%)
21位 : shumai (11勝0敗, 勝率100.00%)
22位 : 葉洞 (10勝0敗, 勝率100.00%)
23位 : K.I. (10勝0敗, 勝率100.00%)
24位 : ぬるぱ (8勝0敗, 勝率100.00%)
25位 : reakyo_kun (7勝0敗, 勝率100.00%)
26位 : Gumi-ttan (7勝0敗, 勝率100.00%)
27位 : clnoss (7勝0敗, 勝率100.00%)
28位 : Mr.croqutter (6勝0敗, 勝率100.00%)
29位 : ARM交易会社最高責任者兼CEO アルマゲドン (4勝0敗, 勝率100.00%)
30位 : ドレミー (4勝0敗, 勝率100.00%)
31位 : のすけ (3勝0敗, 勝率100.00%)
32位 : Sio (2勝0敗, 勝率100.00%)
33位 : 輪ゴム (2勝0敗, 勝率100.00%)
34位 : sugas (2勝0敗, 勝率100.00%)
35位 : ATM (1勝0敗, 勝率100.00%)
36位 : つぶあん派 (1勝0敗, 勝率100.00%)
37位 : しうん (1勝0敗, 勝率100.00%)
38位 : こんにゃく (1勝0敗, 勝率100.00%)
39位 : ぺこり (1勝0敗, 勝率100.00%)
40位 : ぴうりん。 (1勝0敗, 勝率100.00%)
41位 : yzyt (1勝0敗, 勝率100.00%)
42位 : きょねざい (1勝0敗, 勝率100.00%)
43位 : パルル (1勝0敗, 勝率100.00%)


-----------------------------------------------------------


Season 2 Ranking WinsKeep

1位 : 死神 (現在847連勝中, 最大847連勝) [Winner]
2位 : どろしあ (現在837連勝中, 最大837連勝)
3位 : funi (現在310連勝中, 最大310連勝)
4位 : ふらしゅこ (現在301連勝中, 最大698連勝)
5位 : Aqua (現在259連勝中, 最大259連勝)
6位 : 👻(ฅº👅ºฅ)👻 (現在240連勝中, 最大629連勝)
7位 : ミネルバのふくろう (現在208連勝中, 最大672連勝)
7位 : パールネ (現在208連勝中, 最大619連勝)
9位 : 通行ネコ（passing Cat） (現在204連勝中, 最大204連勝)
10位 : drawcinya (現在196連勝中, 最大419連勝)
10位 : ゼロ (現在196連勝中, 最大196連勝)
12位 : 彧瓈 (現在179連勝中, 最大414連勝)
13位 : みけฅ( • ·̫ • ฅ)＠mikeneko10.14 (現在159連勝中, 最大159連勝)
14位 : にゃん⌒ (現在152連勝中, 最大221連勝)
15位 : 🍉🍉 (現在130連勝中, 最大138連勝)
16位 : ノロ (現在126連勝中, 最大1274連勝)
17位 : 硬是在前面加幾字Leo (現在114連勝中, 最大441連勝)
18位 : そばゆ (現在112連勝中, 最大708連勝)
19位 : すきやき (現在109連勝中, 最大336連勝)
20位 : プロメテウス (現在102連勝中, 最大654連勝)
21位 : はるかぜ (現在99連勝中, 最大547連勝)
22位 : 🤓 (現在97連勝中, 最大281連勝)
23位 : ノーにゃんこノーライフ (現在87連勝中, 最大87連勝)
24位 : ユウ (現在83連勝中, 最大495連勝)
25位 : はす (現在63連勝中, 最大185連勝)
26位 : RyuNotch/ぜろりゅー (現在60連勝中, 最大172連勝)
27位 : くれい(CLAY) (現在58連勝中, 最大208連勝)
28位 : アイナック (現在57連勝中, 最大168連勝)
29位 : クラト@パーリーピーポー (現在54連勝中, 最大681連勝)
30位 : ビルSP6 (現在53連勝中, 最大53連勝)
31位 : ひろかず (現在52連勝中, 最大236連勝)
